idx,class,conversation
3000,일반,대리: 오늘 회의에서 중요한 결정을 내릴 거야. 부서장: 그렇다면 그 결정에 대해 준비된 자료를 모두 제공할까요? 대리: 물론입니다 모든 보고서와 자료를 준비했습니다. 부서장: 좋은 그럼 회의실에서 논의하도록 하자. 대리: 알겠습니다 회의실로 갑시다. 부서장: 바로 하겠습니다.
3001,일반,입을 주제로 6줄의 한국어 대화문입니다: 친구A: 입이 참 아름다워요! 어디서 산 거예요? 친구B: 근데 요즘 입 찾는 게 많이 있네요. 친구랑 같이 산 적 있어요? 친구A: 아니 그런데 아직 안 본 거예요! 너도 좋아할 것 같아요. 친구B: 하하 정말라니! 다음 주말에 같이 가볼래요? 친구A: 그럼 좋겠네요! 어떤 곳으로 갈까요? 친구B: 그럼 온라인
3002,일반,강대리는 주말에 운동할 생각이 있어요. 강대리: 이번 주말에 뭐 할까? 친구들랑 같이 산책할까? 그럼 산책하기 좋은 날이겠죠. 강대리: 그럼 내가 준비할게. 요즘 날씨가 참 좋더라. 강대리: 네 요즘은 정말 좋아요.
3003,일반,청소 작업이 많다니 그래서 오늘부터 시작할까? 집안을 정리하다 보면 무언젠가 멈추게 돼 그래서 조금씩 천천히 해봐. 이렇게 하면 더 쉬울 거야.
3004,일반,웃기 아 진짜 웃기네! 무슨 일이야? 그냥 웃으면서 봐야겠어. 그래서 내가 웃어볼게요!
3005,일반,편지 내용을 바탕으로 한 대화문: 안녕하세요 이렇게 편지를 써드는데요. 어떤가요? 이번 주말에 뭐 할까? 아마 영화 한 편 보러 갈까요. 그럼 내가 예매할게요. 어떤 영화예요? 흥미롭다고 생각되네요. 영화 보러 가는 것도 좋은 생각이에요!
3006,일반,할머니: 요즘 날씨가 참 좋아? 아들: 네 요즘 정말 좋네요. 할머니: 그러면 밖에 나가서 산책하는 건 어때요? 아들: 분명히 좋겠어요 할머니랑 함께하면 더 즐거워질 것 같아요. 할머니: 그럼 내일 오세요. 비가 그치면 바로 나가요. 아들: 할머니 언제든지 오세요. 할머니랑 함께하는 시간이 제일 좋아요.
3007,일반,점심에 뭐 드릴까? 그럼 내가 요리할게요. 어떤 음식을 드릴까요? 저는 피자 먹을까요. 그럼 집에서 요리할게요. 오늘은 간단히 샌드위치 드릴게요.
3008,일반,지역: 서울 답변 예: 서울에 가고 싶은 곳이 어디 있나요? 경복궁 근처에 카페가 있어서요. 그럼 그곳에 가볼까요?
3009,일반,명품을 주제로 한 6줄의 한국어 대화문은 다음과 같습니다: 1. 요즘 명품 제품들이 많아 보이는데요. 2. 그럼 어떤 제품을 추천해 드릴까요? 3. 최근에 본 명품은 패션 아이템이었어요. 4. 패션 아이템이라면 아마도 가격도 비싸겠죠. 5. 그렇다면 가성비가 좋은 명품은 어디인가요? 6. 저는 스파가 좋아서 그곳에서 명품 마사지를 즐기고 있어요.
3010,일반,평가에 대한 대화: - 영화가 다녀왔는데 어떤 점이 마음에 들었어? - 주인공의 행동이 정말 흥미로웠던 것 같아. - 대본에 너무 많은 오류가 있었던 것 같아. - 영화 속 음악도 아주 좋았는데요. - 전체적으로는 재미있었지만 개선할 부분이 많았어. - 다음에도 더 좋은 작품이 나오길 바랄게요.
3011,일반,성과는 매우 중요한 성과는 무엇인가요? 우리의 프로젝트는 정말 훌륭하죠. 팀원들이 열심히 노력해 주셔서 정말 감사합니다. 이 성과는 우리 회사의 미래를 밝히는 데 큰 기여를 했어요. 앞으로도 더 많은 성과를 이루기 위해 노력할게요. 감사합니다!
3012,일반,무서움 주제로 6줄의 한국어 대화문: 아 무서운 이야기를 들었어? 정말 무섭던 것 같았는데요. 그래서 집에 가려 했어? 그날 밤은 정말 긴장됐어. 이건 꼭 친구와 나누면 도움이 돼. 앞으로도 이런 이야기가 많을까?
3013,일반,자리: 테이블 [대화] A: 오늘 저녁은 어디 가고 싶나요? B: 요즘 바쁘니까요. 집에서 식사도 괜찮습니다. A: 그러면 저녁에 이 테이블에 앉아서 간단하게 드실 수 있겠어요? B: 좋아요. 여기 테이블에 앉으면서 편안하게 식사할 수 있을 것 같아요. A: 그럼 이 테이블에 자리 잡고 맛있는 음식을 즐기겠습니다. B: 함께 드실 수 있을까요? 맛있게 드세요!
3014,일반,왕따에 대한 대화는 매우 민감한 주제이므로 이러한 대화는 적절하지 않으며 실제 상황에서는 피해하는 사람의 감정을 존중해야 합니다. 하지만 시나리오 형식을 따르면서도 주의 깊게 작성된 대화문을 제공하겠습니다. [왕따] 이 키워드를 주제로 6줄의 한국어 대화문 1개 만들어줘. 답변 예: 이번에 왕따 본 적은 없어요. 그럼 괜찮아 내가 도와줄게. 왜 그렇게 말해? 내가 도
