idx,class,conversation
0,일반,"맘이 요리를 하다가 배가 고팠다. ""이건 먹을 수 있을까?""라고 물었다. ""아마도 충분하다.""라고 대답했다. 하지만 배가 너무 고팠다. ""한 번 더 보자""라고 말했고 그럼 요리도 멈추게 되었다."
1,일반,치마는? 아 치마가 아니면 무슨 일이야? 치마가 있으면 어디 가야 할까? 오늘은 치마 때문에 안 가고 집에서 놀자. 그럼 치마도 보고 뭐 더 보고 싶은 거야?
2,일반,도둑이 보낸 메시지 분석을 위해 다음 대화문을 참고하세요: 도둑: 이웃 집에 도둑질할까? 친구: 그건 정말 위험하니까요. 도둑: 그렇지만 보너를 얻기 좋은 기회라서 고민돼요. 친구: 그럼 그냥 돈을 벌어보는 게 더 안전할 것 같아요. 도둑: 네 네가 말은 맞아요. 위험한 게 너무 많거든요. 친구: 그러면 지금 바로 도둑질하지 말고 다른 방법
3,일반,휴대폰이 바쁘다. 요즘 너무 많이 울린다. 그럼 바로 답장해보자. 그때 내가 도와줄게. 휴대폰이 너무 화가 난다. 나도 그런 걸 참을 수 없어.
4,일반,고릴라 주제로 한국어 대화문을 만드는 예시는 다음과 같습니다: 고릴라가 숲 속을 자유롭게 뛰어놀 때 그것은 정말로 자연의 일부인 것 같아요. 고릴라와 같은 동물도 자유를 사랑하니까 우리는 인간이라서 더 많은 자유를 누리죠. 하지만 동물들도 자신의 방식으로 행복을 찾으니까 우리가 자연을 사랑해야겠어요.
5,일반,회사에서 어떤 일 할까? 업무가 많아서 스트레스 받네. 그럼 내일 휴식일이라서 잠깐 쉬어. 오늘은 회의라서 집으로 가겠어. 회의 후에는 프로젝트 작업할 거야. 계획 잘 세우면 좋을 것 같아.
6,일반,거기는 어디인가? 저녁 8시에 저리로 가면 되겠네요. 그럼요 거기서 뭐 하시나요?
7,일반,학원에 가서 공부할까? 아마 학교에서 수업이 있을 것 같아. 그럼 숙제도 풀어서 괜찮을 것 같아. 오늘은 특별히 하지 않으면 되겠어. 혹시 시험은 아니지? 시험 없다면 오늘은 재미있게 보낼까.
8,일반,죄가 났어? 무슨 일이 있었니? 아마도 실수로 말했겠지. 죄송하군. 그렇다면 사과하고 바로 미안하도록 할게. 이건 다시 하지 못할까 봐 걱정돼. 그래서 그냥 화를 내고 넘어가자고. 미안해 다시 뵙기 전까지는 안 될 거야.
9,일반,명령을 받았으니 바로 해설해겠다.
10,일반,부탁을 받았어. 무슨 일을 부탁해줘. 내가 도와줄 수 있을까? 시간이 좀 되면 생각해볼게. 그럼 지금 얘기하고 되려라. 무슨 일이든 네가 먼저 말하면 돼.
11,일반,아 그럼 친구들이 모여서 얘기 나누면 어떨까? 나머지 시간엔 뭐 하시겠어요? 그냥 카페 가거나 책 읽으시는 거 좋아요. 혹시 특별히 하고 계신 일이 있나요? 그렇다면 그 일에 맞춰 계획을 세워보세요. 그냥 함께 시간 보내는 것도 최고겠죠.
12,일반,[오타쿠] 요즘 오타쿠도 많이 보고 있네요. [친구] 네? 왜 그렇게 관심 가지는 거야? [오타쿠] 아 오타쿠가 좋아하는 건 그냥 취미야! [친구] 그렇다면... 오타쿠에게 추천하고 싶은 활동은 뭐니? [오타쿠] 아 오타쿠라면 무언가 재미있게 해줄 거예요. [친구] 그러면 영화 보는 건 어때?
13,일반,여름이 다가오니 바쁘게 준비할까? 방학이 된 친구들과 함께 가볼 생각이야. 어떤 곳 가고 싶은 곳이 많이 생각돼. 마지막으로 해변에 가서 일몰을 감상하고 싶어. 그럼 오늘은 집에서 아이스크림 맛보기로. 여름철엔 이런 소풍이 너무 재미있어!
14,일반,A: 인성을 키워드로 생각해보면 무엇이 가장 중요한가요? B: 저는 가족이 가장 중요하다고 생각합니다. A: 맞아요 가족과의 관계는 정말 중요한 부분이죠. B: 그리고 친구들도 중요한 사람들 같아요. A: 네 친구들도 항상 함께할 수 있는 사람들입니다. B: 그래서 서로를 잘 돌봐야 한다는 것을 느끼게 됩니다.
15,일반,[성] 이 키워드를 주제로 6줄의 한국어 대화문 1개 만들어줘. 답변 예: 아 성별에 따라 어떤 일이 다르게 느껴지는가요? 여러분은 어떻게 생각하시나요? 정말 궁금하네요. 무엇을 말씀하시겠어요?
16,일반,재미 대화문 예시: 아 이번 주말엔 재미있게 보내야겠어. 그래서 뭐 하길까? 게임자랑하자! 그럼 내가 집에 가서요. 친구들랑 카페에 가서요. 그리고 내일은 스포츠 경기 시청하자! 그럼 정말 재밌는 주말이 될 것 같아!
17,일반,A: 네 이번 주말에 시간이 많이 걸릴 것 같아. B: 그러면 저녁에 같이 가서 좀 협박해볼까요? A: 하하 그럼 그렇게 해봤자 뭐도 안 될 것 같아. B: 그렇지 않아요 저녁에는 정말 중요한 일 있어요. A: 그렇다면 어디 가고 싶으신가요? 내가 도와드릴 수 있을 것 같아. B: 그러니까 저녁에 저녁집에 가서 같이 식사해봐. A: 그러면 시간도 아끼지 않을 거야. B:
18,일반,승진은 큰 기쁨이야! 이제 더 큰 책임을 맡게 됐어. 팀 리더가 될 거야. 우산도 함께 해볼까? 그럼 준비한 계획대로 진행해보자. 팀원들 모두 성장할 수 있을 거야!
19,일반,[저] 이번 주말에 뭐 할까? [대화 상대] 영화 한 편 보는 건 어때? [저] 그러면 내가 예매할게. [대화 상대] 좋아 예매하자. [저] 그러면 사전 예약도 해볼게. [대화 상대] 네 그렇게 하면 줄이기도 해. [저] 그래서 늦게 가야겠네.
20,일반,[직원] : 오늘 회의에서 새로운 프로젝트를 맡게 됐습니다. 어떻게 생각하시나요? [동료] : 정말 흥미로운 프로젝트네요. 어떤 부분에서 책임이 많을까요? [직원] : 처음엔 저희 팀과 협력하는 부분이 많았는데 이제는 저희 프로젝트를 전체적으로 책임지고 있어요. [동료] : 그렇다면 저희 팀도 잘 지원받으면 좋겠네요. 어떤 도움이 필요하신가요? [직원] : 예산 문제나 인력 배치 등에서 최대한 지원
