idx,class,conversation
0,일반,안녕하세요! 갑자기 불이 난 걸 보니 위급한 상황이에요. 신고해 주세요 도와드릴 수 있을 것 같아요. 빠르게 불을 끄며 상황을 파악하려고 해요. 당신도 안전하게 나가길 바랍니다 경찰에게 즉시 알려주세요. 이건 저의 집이라서 빨리 들어와 주세요! 무엇이 문제인지 알려주시면 더 도와드릴 수 있을 거예요.
1,일반,택배가 도착하지 않았어요. 무슨 일이 있었는지 모르겠네요. 배송 확인을 해보는 건 어떨까요? 회사에 연락해볼 수도 있겠죠. 먼저 확인해보고 말이야.
2,일반,주말에 몰아서 잠 자기? 집에 돌아가면 바로 잠들어. 그럼 내일 또 뵙자. 좋았어 즐거운 주말 보내세요. 내도 그렇겠지. 행복한 주말이길 바래요!
3,일반,집에 재료 없을 때 요리 고민은 뭔가요? 간단한 샐러드나 파스타는 어떠세요? 그 외에도 요리 도구가 없다면 손으로 직접 요리해볼 수도 있죠.
4,일반,안녕하세요 저는 여기 있습니다. 여기서 무슨 일이 있나요? 전화 해머가 왔어요. 그럼 제가 통화 중이에요. 잠시만 기다려 주세요.
5,일반,저녁 식사에는 무엇 먹을까? 오늘 낮에 산책 다녀왔는데 살짝 가벼워졌더라고요. 그래서 건강한 옵션에 집중해보겠어요. 예를 들어 닭가슴살 샐러드나 채소 볶음볼 먹을까? 혹시 추천해 줄 수 있나요? 두 가지 모두 맛있겠지만 저는 좀 더 가볍게 먹고 싶어요.
6,일반,불면증 고민 왜 밤새워지니? 아마도 스트레스가 있는 거야. 그럼 심호흡이나 요가도 해보는 게 어때? 혹시라도 상담도 생각해보는 건가요. 자신에게 좋은 생각을 가르쳐줘요.
7,일반,네 요리나 베이킹에 대한 취미 이야기를 주제로 한 대화문을 만들어 드릴게요. 당신: 요즘 요리에 대해 많이 배워요. 저자: 정말! 어떤 종류의 요리든지 관심이 많으시네요. 당신: 그렇죠 베이킹도 즐겨요. 최근에 새로운 레시피 시도했어요. 저자: 베이킹도 재미있죠. 맛있는 케이크 만들었나요? 당신: 네 친구들에게 선물하기도 했어요. 모두 좋아하셨다니 기쁩니다
8,일반,배달앱 메뉴 추천해줘. 요즘 뭐 인기 있을까? 제가 몇 가지 추천해볼게.
9,일반,혼밥으로 가겠어? 그럼 내가 집에 갈게. 그때 너와 같이 오면 좋겠어. 어떤데 네가 요즘 바쁘니? 혼밥은 더 편할 것 같아. 그럼 함께라면 어때?
10,일반,사진 찍는 취미는 어때? 먼저 중요한 순간만 찍어야 해. 그럼 좋은 사진들이 나올 거야. 영상도 찍으면서 재미있을 것 같아. 모든 순간이 멋진 사진이 될까? 좋아요 시작해보자!
11,일반,알겠어 부재 중 전화 해명을 주제로 한 대화문을 만들어볼게. A: 부재 중 전화 해면데요 무슨 얘기 할까요? B: 잠깐만요 중요한 얘기 있어요. 우리 얘기 나중에 좀 해도 되겠죠? A: 아니 지금 들어봐야겠어요. 무슨 일이지요? B: 회사 관련 얘기인데요 나중에 말씀드릴게요. A: 알겠습니다. 그럼 지금 뭐 해요? B: 집에 가서 쉬는 것도 좋고 짧은 산책도 �
12,일반,감기가 심어지니 잘 쉬자. 내일 아침에 산책하기로 했는데. 그럼 그날마다 약간씩 숨을 내쉬자. 몸이 아플 때는 이렇게 쉬면 좋아. 오늘은 집에서 영화 한 편 보자. 그럼 따뜻한 차 한 잔 드릴게요.
13,일반,내 휴대폰 진짜 어디에 있겠어? 가장 당연한 곳부터 찾아보자. 전화걸어서 좀 도와줄 수 있을까? 그래서 여기서 다시 한번 확인해보자. 아 여기 있었는데! 나쁜 기분인데 도와줄 수 있어?
14,일반,가격 비교 상담 이번에 신용카드 비교해볼까? 다양한 상품들을 비교해보자. 저희도 좋은 옵션이 있을 것 같아. 신용등급에 따라 어떤가가 더 적합한지. 빠르게 검토해봐 시간이 잘못되면.
15,일반,"운동을 취미로 시작한 이야기를 주제로 한 6줄의 한국어 대화문입니다: ""안녕하세요 저는 요즘 운동을 많이 하게 되었습니다."" ""좋아요 운동도 건강에 좋은 것 같아요."" ""네 그래서 저도 최근에 시작한데요."" ""어떤 운동인지 궁금하네요."" ""저는 달리기를 좋아해서 매일 아침에 나가죠."" ""달리기 정말 재미있겠네요 한번 같이 나가보죠!"""
16,일반,지갑이 어디에 있겠어? 저녁 식사 후에 분실했을 것 같아. 그래서 신용카드나 휴대전화처럼 예매할래. 이번에는 더 신경 써야겠어. 다음 번엔 카드 챙기기도 했는데 지갑 분실이라면 정말 스트레스 받겠어.
17,일반,아침 일찍 잠이 잘 돼. 내가 할 수 있는 게 별로 없네. 그래서 그냥 눕는 건 어때? 오늘은 집에서 쉬자고. 그럼 내일 좀 더 열심히 해자. 이렇게 자고 싶은데요.
