idx,class,conversation
4000,일반,택배가 도착하지 않아서 무슨 생각하니? 아마 배달자가 잘못된 주소를 두고 가서야겠지. 회사에 연락해보면 안겠어? 대신 다른 방법으로 다시 보내야 해. 이건 처음으로 그런 일이 있어 정말 당황해. 택배 회사에 불만을 제기해야겠군.
4001,일반,길을 잃었어? 어디 가본데 모르겠어. 걱정 마 이렇게 찾아보기 돼. 이동전문서를 봐도 길이 잘못 나갔던 것 같아. 그래서 방향을 찾아볼게. 처음부터 다시 가는 건 아니겠지? 이동전문서를 좀 더 자세히 봐야겠어.
4002,일반,오늘 음악을 들을까 아니면 연주하기까? 요즘엔 집에서도 잘할 수 있어서 더 많이 연주하고 싶어. 어떻게 생각해?
4003,일반,저녁까지 결과가 없어서 정말 실망합니다. 그냥 실패해도 괜찮지 않나요? 다시 도전해 볼까요? 일단 오늘은 쉬어가겠습니다. 내일 생각해보겠습니다. 이런 기분에 푹신해지는 게 뭔가요? 아마도 작은 성공도 중요하니까요. 믿어주세요. 우릴 수 있을 거예요. 힘내세요.
4004,일반,새로운 취미 시작하고 싶었는데 시간과 비용 때문에 고민돼. 취미를 좋아하는 친구에게 상담을 구해봤어. 그는 저녁 시간이라면 요가 클래스에 갈라고. 나도 처음에는 두렵지만 건강에 좋은지 생각해. 그래서 내일부터 시작할게요 잘 부탁드려요.
4005,일반,아 무슨 일이 있었어? 말은 했는데 행동은 다르게 했던 것 같아. 그게 왜 그렇게 생각하니? 저는 그냥 걱정했단다. 우리가 서로를 더 잘 이해할 수 있을까? 이 오해가 끝나기를 바라네.
4006,일반,배달앱 메뉴 추천 도와줄까? 오늘은 이트alien과 피자 선호함. 어떤 메뉴가 더 인기 있을까? 그럼 이트alien 한 조각과 피자 한 조각. 그럼 그렇게 주문할까. 메뉴 추천 잘해줘!
4007,일반,비 오는 날에는 따뜻한 음식을 먹는 게 좋겠어. 그래서 today는 hotteok and bunchon for dinner. 혹시 비자원식 음식 추천해줄 수 있을까? 아마도 비 오면 사과나 양파찜밥은 어떨까? 저는 무염 국수와 된장찌개도 좋아하겠어. 어떤 음식이든 맛있게 드시길 바랄까?
4008,일반,오늘 주말은 진짜 바빠서 잠자기 좋은 날이야. 그래서 집으로 돌아와서 바로 잠들어볼까. 머물 시간이 길어지면 피로한 눈이 생기더랜. 집 안으로 돌아와서 라디오 틀어놓고 듣는 것도 좋겠어. 그럼 좋은 밤 되세요! 충분히 자고 계세요. 아침마다 재미있는 아침 식사를 해보세요.
4009,일반,통신 소리가 끊깁니다. 무슨 일이셨나요? 저도 끊겼어요. 다시 연결해보죠. 만약 연결되지 않으면... 전화기를 교체해야겠네요. 그럼요 먼저 확인해보세요.
