idx,class,conversation
2000,일반,시간이 늦어버린다. 그래서 조심해야 해. 오전 10분 아침 식사야. 점심 1시 출장이야. 저녁 9시 영화 보러 가네. 일상 속 시간 관리 잘 해야 해.
2001,일반,아이패드 사용법에 대해 이야기해보자. 아이패드를 어떻게 사용해야 할까요? 애플 스토어에서 최신 모델 구매하면 좋겠네요. 아이패드로 어떤 앱을 사용할 수 있어요? 인터넷에 연결되어 바로 작업할 수 있죠. 아이패드를 장비로 사용해보면 어떨까요?
2002,일반,자전거는 좋은 운동이죠. 어느 날마다 산책을 하니 신선한 공기가 느껴집니다. 주말에 자전거 타고 산을 올라가면 기분이 좋아집니다. 혹시 자전거 여행을 계획하고 계신가요? 산책보다는 장거리 타는 게 더 재미있어요. 자전거를 이용해 다양한 곳을 탐험해보세요!
2003,일반,거래 주제로 답변 예시의 형식만 참고해서 6줄의 한국어 대화문 1개 만들어줘. 답변 예: 거래가 잘 되겠어요? 물론이죠 어떤 게 뭐하나요? 저는 집중할게요. 그럼 제가 연락할 때까지 기다리세요. 대화 후에 다시 연락할게요. 이렇게 하면 어떨까요?
2004,일반,눈이 깜빡이는 순간 그냥 잠시 멈추는 것 같아. 다시 깊어질 때까지 조용히 쉬는 시간이야. 잠깐의 휴식이 필요하다는 느꼬는 느낌이 든다.
2005,일반,아줌마: 어서 집에 오렴. 저녁은 내가 요리할게. 아이: 무슨 음식을 요리하니 궁금하네. 아줌마: 요즘엔 간단히 맛있는 볶음밥만 있구나. 아이: 그러면 저녁은 우리가 함께 할 수 있을 거야. 아줌마: 그럼 좋겠네. 밥 먹으면서 뭐 할까? 아이: 아빠가 좋아하는 드라마 보기야. 아줌마: 그럼 저녁은 더 기대될 것 같아. 아이: 네 그렇게 생각하
2006,일반,[번호] 이 키워드를 주제로 6줄의 한국어 대화문 1개 만들어줘. 답변 예: 안녕하세요! 오늘은 무엇을 할까요? 오늘은 여행을 가서요. 좋아요 어디 가려나요? 서울에 가려나요. 서울에 가면 좋은 장소 많이 있어요. 저는 난지마을에 가려고요.
2007,일반,인턴: 이번 주말에 인턴쉽 작업을 어떻게 할까요? 선배: 우선 보고서를 검토한 후 필요한 데이터를 분석해보세요. 인턴: 그렇다면 분석 결과를 바탕으로 보고서를 작성할까요? 선배: 네 그리고 필요하다면 추가 자료를 요청할 수 있어요. 인턴: 그렇다면 이번 주말을 효율적으로 활용할 수 있을 것 같아요. 선배: 좋은 생각이에요 잘 하세요!
2008,일반,서류 관련 대화문 예시: 1. 서류 많이 있지 않다? 2. 네 최근에 많이 썼던 것들이 있다. 3. 그거 확인해볼까? 4. 그러면 내 서랍에서 꺼내봐. 5. 그러면 바로 보게 될 거야. 6. 그렇다면 바로 시작해보자.
2009,일반,비린내가 날 때 무슨 일이야? 날씨가 좋아서 비가 올까 봐 걱정돼. 그래서 가방 하나씩 챙기자고 하네. 비가 오지 않을까 봐 너무 설레네. 만약 비가 오면 어디 가야 할까? 집에서만 있을까 봐 너무 불편해.
2010,일반,무서워? 무슨 일이 있어? 걱정하지 말라 내가 도와줄게. 그래서 어디가 문제인가? 모르는 사람에게는 아무도 안 알려. 그럼 지금 뭐 하느라? 우리 집으로 가서 안전을 챙길게.
2011,일반,비서: 오늘 회의 준비가 잘 되셨나요? 직원: 네 물론입니다. 회의실 예약도 완료했습니다. 비서: 그러면 회의 자료도 준비되셨나요? 모든 내용이 포함되어 있는지. 직원: 물론입니다. 회의 전에 모든 자료를 검토했습니다. 비서: 좋군요. 회의 시작 시간을 알려주세요. 일정 조율이 필요합니다. 직원: 곧 알려드리겠습니다. 감사합니다.
2012,일반,병원에 가서 의사의 진료를 받았어요. 병원이 너무 바쁘서 기다리느라 힘들었는데. 결국 괜찮은 결과가 나와서 다행이에요. 앞에 있는 병원에서는 다른 의사로 가야 해서. 이 병원은 특히 신경과 전문의가 잘 있더라고. 다음 주에 다시 복진을 받아보려구요.
2013,일반,환장이 좋은 날씨네요. 아마도 공원에 가서 산책할 거예요. 그리고 요즘 좋아하는 음식을 먹으러 갈지도 모르죠. 오늘 뭐 해요?
2014,일반,돼지는 농장에서 자란 동물이야. 많은 사람들은 돼지를 고기로 먹어. 하지만 돼지는 지능적 동물이라고도 해. 이렇게 돼지 농장은 보호되는 곳이 있어. 돼지는 가족 단위로 살아가며 자주 아우러. 도시에서 돼지를 만난 사람은 드물지만 돼지는 도망친다.
2015,일반,결혼식을 기념하자고 했는데요 여기까지 오신 분들을 위해 준비된 게 많죠. 식당을 예약하고 음악을 고르고 앞면에 장식을 해봤어요. 결혼식 후에는 어디 가시겠어요? 나와 같이 맛있는 음식을 즐기세요.
2016,일반,공연 키워드를 중심으로 한 6줄의 한국어 대화문 예시입니다. --- 어떤 공연이 있으려면 어디 가야 할까? 저희 근처에 새로운 카페터가 열렸는데요... 혹시 그곳에 공연이 예정된다고 들었던 걸까? 그렇다면 바로 가보겠군. 어떤 종류의 공연인지 알려줄 수 있을까? 음악 공연이라면 저녁 시간에 가는 게 어떨까?
2017,일반,연차에 대해 이야기하는 한국어 대화문 예시는 다음과 같습니다: 1. 연차가 끝나면 뭐 할까? 2. 저는 휴가로 산책할 테니까요. 3. 산책은 참 좋은 생각이에요. 4. 아니면 여행 가는 건 어떨까요? 5. 여행도 좋겠는데 산책은 더 편하겠어요. 6. 그럼 나는 산책을 해볼게요.
2018,일반,엄마: 어제 뭐 했어? 아들: 집안 일을 좀 했는데요. 엄마: 오 그럼 잘했나? 아들: 네 요즘 바쁘지만 끝까지 잘 마쳤어. 엄마: 그런데 저녁은 뭐 준비했어? 아들: 맛있는 한식메뉴 준비했는데요. 엄마: 멋지게! 그럼 함께 드릴까?
2019,일반,계약 주제의 대화문: 아 계약서 작성할 거야? 그래서 오늘 afternoon부터 준비할까? 그럼 서류 준비물 다 챙겨줄게. 계약서 내용은 이렇게 작성하겠어. 두 사람이 함께 체결하는 중요한 일이야. 이건 우리 미래에 큰 영향을 미칠 거야.
2020,일반,안녕하세요! 기절 시간이 오셨네요. 잠자실로 가서 휴식을 취하세요. 또래가 있으시면 함께 기절해보세요. 근처가 너무 차가워서 따뜻한 수건 준비하세요. 기절 후에는 잠깐이라면 다시 일어나세요. 이게 너무 지루하네요 정말 졸리고 싶어요.
2021,일반,친구: 요즘 바쁘고 힘들어 보이네. 쉬어가서 좀 시간 보내줄 수 있을까? 아니 아니. 그냥 같이 나가자. 그럼 지금 어디 가고 싶어?
2022,일반,부담이 생기면 어떻게 해야 할까? 일상 속 작은 것들까지도 부담이 된다니 참 아름다움 없네. 그럼 잠깐 산책 가보자. 바람 불면 더 좋아지겠지. 어떤 길든 걷다가 생각이 다가온다. 그냥 마음가짐으로 가보자.
2023,일반,손님: 안녕! 오늘 어디 가고 싶어? 호스트: 만나서 반가워! 오늘은 어디 가고 싶어? 손님: 저녁 식사가 좋아서 그곳에 가볼까. 호스트: 그러면 내가 예약한 테이블에서 맞춤 주문 해줄게. 손님: 고마워! 그런데 그곳에 특별한 행사가 있는 것 같아. 호스트: 그렇네! 행사를 위해 특별한 메뉴도 준비된다고 들었어.
2024,일반,아 무슨 일 있겠어? 무슨 일이니 궁금해. 그냥 가보고 싶어. 그래서 같이 갈래? 좋아 그럼 준비하자. 어떤 곳 가고 싶어?
2025,일반,거래 주제로: 아 오늘 거래가 있었어. 무슨 일이 있었는지 궁금해. 회사에서 새로운 프로젝트를 시작했어. 그래서 많은 사람들이 모여서 논의했지. 프로젝트 계획은 거의 완성되었어. 이제만 실행에 옮겨야겠어.
2026,일반,상황: 친구와 함께 카페에서 대화 1. 친구: 오늘 날씨 정말 좋네요. 2. 나: 완전히 그렇죠! 밖도 아름답고 내기도 좋아. 3. 친구: 그러면 산책도 잘하실까요? 4. 나: 어떠신가요? 산책 후에 이곳에 와서 커피도 마셔볼게요. 5. 친구: 좋은 생각이에요. 그럼 시간 정해두세요. 6. 나: 언제든지 괜찮아요. 우리 같이 계획해보죠!
2027,일반,목숨에 대해 이야기해보자. 그럼 나 오늘 나무 쪼는 건 어때? 그냥 나와서 가는 건 어떨까? 그럼 내가 가서 나무 쪼보겠어요. 나도 모르게 나무가 생기네요. 그럼 나 다음 주말에 나무 쪼보겠지. 그럼 함께 나무 쪼보면 어떨까?
2028,일반,청소 작업을 어떻게 해야 할까? 먼저 거실 청소해볼까? 그리고 방 안가서 침대 청소도 해봐. 그 후에는 요리도 하고 식사 준비할게. 오늘은 작은 물건들을 정리해보자. 이렇게 하면 집이 더 깔끔해질 거야.
2029,일반,아이: 아빠 오늘 놀이방에 가러 가실래요? 아빠: 네 요즘 너무 바쁠데요 어떻게 하셨어요? 아이: 친구들이 하던 게임을 보여주고 싶어요. 아빠: 그럼 바로 가볼까요 시간이 다가가네요. 아이: 정말 고마워요 재미있게 돌아올게요! 아빠: 물론이야 아이가 재미있게 놀 수 있도록 할게.
2030,일반,냄새가 너무 심해서요. 어디서부터 나오는지 모르겠어요. 창문을 열어도 조금만 감기네요. 아마 집안에 누군가가 흡연하고 있을 것 같아요. 집안가실 청소가 필요하겠어요. 나중에 전문가에게 봐야겠어요.
2031,일반,커피는 어때? 요즘 새로운 카페가 생겼더라고. 그래서 함께 가볼까? 네가 좋아하는 곳이든 좋겠어. 그럼 오전에 갈까? 아니면 오후에? 나가 가실 때 알려줄게 새로운 메뉴가 나올 거야. 그럼 맛있게 즐거워서라! 커피 한 잔이라니 기대돼. 커피를 어떤 방식으로 드릴지 고민해보는 것도 재미있겠어. 커피가 맛있게 들려주는 소
2032,일반,정규직: 근무가 끝난 후에 뭐 할까? 친구들 만나기 좋은데 집에 가는 게 더 좋다고 생각해. 그래서 자주 운동하고 싶어서. 이렇게 정해두면 스트레스도 줄어들 것 같아.
2033,일반,미팅 내가 준비한 자료를 보여줄게. 모두가 먼저 의견을 나누면 좋겠어. 그럼 10분 후부터 시작하자. 모두 준비되면 바로 시작할게. 시간은 오전 11시로 정했으니 참으러. 모두 챙기자!
2034,일반,신고서 잘 작성했어. 첫 번째 페이지에는 어떤 사건이 있었는지 적어야 해. 두 번째 페이지에는 피해 금액과 증거 사진을 넣어야 돼. 세 번째 페이지에는 피해자 연락처도 필요해. 신고를 잘 하면 범죄자 잡기 쉬워. 경찰에 신고하면 빠르게 조사돼. 이렇게 하면 범죄자도 걱정하지 않아.
2035,일반,아 요즘 식감 좋아하시나요? 저도 최근에 다양한 맛집 찾게 되었어요. 어떤 곳 가시나요? 추천해 주세요. 그림 자랑이겠지만요 맛있게 드셔요. 오늘 갑니다 또 다음 주에 또 가요. 맛있는 밥 하나 가져와주세요.
2036,일반,리포트: 최근 프로젝트 완료 후 어떻게 느낄까요? A: 정말 고마워요 팀원들 모두 협력 잘했어요. B: 함께 했던 시간들이 너무 빠르게 지나네요. C: 이제는 휴식 시간이 필요하다고 생각해요. D: 앞으로도 더 많은 프로젝트를 함께 해보겠어요. E: 팀원 모두의 노력이 결실을 맺었으니 뿌듯하네요. F: 다음 프로젝트 준비도 신속히 시작할게요.
2037,일반,배신은 무슨 일이야? 아 배신이라니 정말 안타깝네. 무슨 일이 있었는지 알려줘. 그냥 말자 이제 더 이상 신뢰하지 못해. 그렇다면 앞으로는 이렇게 하지 않겠어. 바쁘게 해도 시간을 내어 이야기하고 싶어. 이건 정말 큰 문제야 어떻게 해결할까?
2038,일반,눈이 아프다. 그래서 눈을 감고 휴식을 취해야겠어. 이제 잠시 쉬어가자. 나중에 더 잘 보일 거야. 눈이 너무 아프면 안 된다고 해. 잠자면서도 눈이 잘 닫히도록 해야겠어.
2039,일반,명: 오늘 뭐 먹었어? 친구: 간식은 먹었는데 진짜 맛있는 식사를 해보는 건 없지 않아? 명: 그러면 내가 집에서 요리할게. 친구: 좋겠어! 어떤 음식을 할지 추천해줘. 명: 요즘 인기 있는 볶음밥이나 파스타가 어때? 친구: 둘 다 좋아하는데 최근엔 볶음밥이 더 많이 먹어. 명: 그렇다면 볶음밥 만들기로 했어! 친구: 멋지하! 함께 먹으면서 대화를
2040,일반,[사장님]: 이번 주말에 어디 가실까요? [고객]: 영화 한 편 보는 건 어때요? [사장님]: 그러면 제가 예매해 드릴게요. [고객]: 고마워요! 어떤 영화인지 말씀드릴까요? [사장님]: 오늘 개봉한 '전설의 시골'이에요. 혹시 그 보기 원하시나요? [고객]: 네 정말 원하네요! 그럼 바로 예매해 주세요.
2041,일반,길동: 오늘 길동으로 가고 싶은 곳이 있나요? 친구: 네 새로운 카페가 있더라고요. 길동: 그거 가면 어떨까요? 함께 갈까요? 친구: 분명히요! 시간을 정해보죠. 길동: 그러면 저녁에 만나죠. 기대돼요! 친구: 같이 하죠! 좋은 주말 되세요!
