idx,class,conversation
2000,일반,요즘 취미생활은 정말 다양하네요. 사진 찍는 걸 좋아하니까 카메라 사용법 공부하고 있어요. 그리고 요리도 좋아서 새로운 레시피 시도하는 시간이 많아졌어요. 이렇게 취미생활이 많을수록 일상도 더 재미있어지는 것 같아요. 언제든지 새로운 취미를 찾아보는 것도 좋은 방법이라고 생각해요.
2001,일반,혼자서 책 읽는 게 재미돼. 그럼 이번 주에 어떤 책 읽을까? 아마 오늘부터 '한복의 여왕' 읽을 거야. 이 책은 정말 흥미롭더라고. 혼자서도 괜찮은 시간을 보내는 게 돼. 이렇게 취미생활을 즐기면 더 열심히 해봐.
2002,일반,오늘 어디 가셨어요? 집에 있으신가요? 아니면 어디 있었는지 알려주세요. 그럼 오늘 밤에는 같이 놀러 가볼까요?
2003,일반,체력 떨어진 느낌 근육이 약해지고 숨쉬기 힘들어. 운동 없이 지내다 보면 점점 무력해져. 지금 이렇게 느끼면 앞으로의 생활도 걱정돼. 야간 근무나 비슷한 일은 더 이상 하지 않겠어. 체력을 회복하려면 꾸준한 운동과 식습관이 필요해.
2004,일반,게임을 취미로 즐기는 이야기를 주제로 한 6줄의 한국어 대화문입니다: A: 요즘 게임을 정말 많이 즐겨요. B: 그럼 어떤 게임을 좋아하시나요? A: 최근에 출시된 '엘더스 오브 에테라'를 매일 온라인으로 즐기고 있어요. B: 정말 그렇네! 그 게임도 참 매력적하네요. A: 고마워요! 혹시 그 외 더 추천하고 싶은 게임이 있으신가요? B: 물론이에요 '오버워치'도 �
2005,일반,내 휴대폰 어디에 놓았을까? 가족들과 모두 찾아봐볼게. 집안 한순간 봐라. 그리고 출퇴근길에 한번 더 봐. 만약 잃었으면 정말 화가날 것 같아. 그래서 바로 확인해보자.
2006,일반,어제 밤에 뭐 했어? 아침에 일어나서 바로 집에 돌아왔어. 그냥 잠시 쉬어봤던 거예요? 혹시 특별한 계획 있었나요? 저는 그냥 집에서 쉬어봤거든요. 그럼 오늘도 잘 지내셨으면 해요!
2007,일반,안녕하세요! 제품이 불량이라서 교환해 드릴까요? 물론입니다 교환 절차 알려드리겠습니다. 먼저 구입 날짜와 제품 번호를 알려주세요. 그 후 해당 매점으로 오시면 처리해 드리겠습니다. 교환이 성공되길 바랍니다 좋은 하루 보내세요! 매점 방문 전에 연락 주시면 더 빠르게 처리하겠습니다.
2008,일반,길 막혀서 정말 늦어! 우리 약속 시간은 얼마전까? 그럼 집으로 가서 빨리! 다른 날 만날까? 네가 먼저 말했는데... 그럼 내일 또 같이 가볼래.
2009,일반,차가 고장났다니? 어떤 부분이 문제인지 봐야 해. 차량 내부와 외부 모두 문제일 수 있어. 앞으로 가는 거리만으로는 정확히 파악하기 어렵네. 차를 전문가에게 데려가보자. 그럼 오늘 밤에는 집에 머물러갈까?
2010,일반,감기 기운 있음데 오늘은 집에 머무르고 싶어. 그럼 안팬데믹이라서 바깥 나가야 할까? 나보다 열이 더 많이 나니까 집에서만 가는 게 좋을 것 같아. 그럼 외출은 하지 말자 그냥 집에서 영화 볼까? 혹시 집에서 볼 만한 영화가 있으면 알려줄게. 집에서 맛있는 음식도 사들여놨다고 그럼 완벽한 주말이 될 거야!
2011,일반,시험이나 면접에 대해 많이 준비했는데 어떤 경우든 불안감이 느껴진다. 심리 시험은 특히 어려워 보인다. 호흡을 깊게 하고 자신감을 가지고 가자. 좋은 결과가 있을 것 같아 마음이 따뜻해진다. 행복한 마음으로 응원할게.
2012,일반,막차가 너무 걱정돼. 가끔은 막차가 막혀서 어디로 갈지 모르겠어. 요즘은 더러워서 어디로 가야 할까 생각하니 스트레스가 많이 가는 것 같아.
2013,일반,사진 찍는 건 재미있어. 어떤 장소에서 찍어도 좋아. 기념일마다 특별한 사진 나누면 좋겠어. 그럼 이번 주말에 어디 가볼까?
2014,일반,배달앱 메뉴 추천해줘. 요즘 뭐 인기 있지?
2015,일반,아니면 어떤 음식이 더 건강할까? 저는 채소와 육류를 균형 있게 선택해요. 나도 그렇게 할 테니요. 그럼 함께 갈까? 좋아요 같이 가보죠! 그럼 준비할 시간이 더 필요할 것 같아요.
2016,일반,네 잘한 일 자랑을 주제로 한 대화문을 만들어 드리겠습니다: 오늘 정말 대단한 일 있었어! 회사에서 새로운 프로젝트로 인해 중요한 발표를 했는데 평가위원들이 정말 칭찬하셨다니 기분이 최고조에 달하는 것 같아! 내가 노력한 게 결국 보답된 거 참 뿌듯하다. 이런 일이 있다면 앞으로도 계속해서 더 많은 기회를 잡겠어! 앞으로도 더 힘쓰며 좋은 결과를 얻길 바라네.
2017,일반,집 열쇠 어디에 있었는데? 아마도 키보드 위에 떨어져 있을 거야. 빠르게 검색해보면 나중에 찾을 수 있겠군. 그리고 앞으로는 항상 키보드에 두는 게 좋겠네. 이건 너무 큰 실수라고 생각돼. 다음에는 열쇠를 항상 가방 안에 두자.
2018,일반,오늘 진짜 잘 했어! 시험에서 최고 점 받았어! 모든 과목에 아치 높은 성적 나왔어! 언제도 이런 성과 못 했어! 학교 친구들도 모두 칭찬하고 있어! 정말 멋진 하루였어!
2019,일반,주차 자리 못 찾았어. 어디서 박아서? 주차장 끝까지 살펴봤는데 자리가 없어. 다른 곳 찾아볼까? 주차권 좀 더 구해서 봐. 이젠 못 찾겠어. 어떻게 하느냐?
2020,일반,어떤 책 읽으려고 하니? 나랑 가보고 싶어서... 그럼 함께 갈까? 좋은 생각이야! 어디 가고 싶어?
2021,일반,배달앱 메뉴 추천해줘. 저는 피자와 볶음밥을 추천할게. 그럼 너는 무엇을 드릴까? 바비큐와 샐러드도 좋을 것 같아. 나중에 생각해보자고. 요즘 맛있게 먹었던 것은 어디서 있었는지 잊었어.
2022,일반,사진이나 영상을 찍는 취미를 주제로 한 대화문은 다음과 같습니다: 저는 사진 찍는 걸 좋아해요. 오늘은 특별한 장소로 가서 멋진 사진을 찍고 싶어요. 그래서 아침 일찍 출발해서 화려한 풍경도 찍고요. 그리고 색다른 액션 사진도 여러 장 찍어요. 이렇게 여러 장의 멋진 사진을 모아서 앨범에 넣어두면 좋겠어요. 앞으로도 계속 새로운 장소에서 사진을 찍고 싶어요
2023,일반,오늘은 어디에 왔는지 확인하자. 난 호텔 앞에 있었는데. 여기서 만나서 정말 기뻐. 이곳 근처에 맛있는 음식점 있지 않아? 그럼 함께 식사해서 오늘 하루도 완벽하게 만들자. 이렇게 생각하면 더 즐거워지더라.
2024,일반,길이 막혀서 이제야 도착했네. 그래서 계획했던 시간에 도착하지 못하겠네. 다시 계획해보자. 어디 다른 길이 있어?
2025,일반,친구와 싸운 후 어떻게 해야 할까? 그냥 화해하고 다음에 더 신경 써야겠어. 그때 무슨 말 했을까? 후회가 깊다. 다음회 더 조심해서 말해야겠어. 친구도 나도 실수를 해도 괜찮아. 그냥 다시 시작하고 좋아해봐야겠어.
2026,일반,통화 소리가 너무 작아서 들을 수 없네? 그럼 좀 더 가까이 해줄래? 그래서 내게 해줄래? 좋아 그럼 여기서 좀 더 멀리 가볼게. 그렇게 되면 통화 소리가 더 들릴 거야. 그래서 어디 가고 싶은데?
2027,일반,아니 지금은 직장보다는 대학에 집중해보는 게 좋을 것 같아. 대학에서 원하는 진로가 뭐야? 그에 따라 전공을 결정하면 돼. 직업 시험도 볼 수 있어 어떤 분야가든 준비할 시간이 필요해. 하지만 직업 시장이 까다롭다면 다양한 분야를 경험해보는 것도 좋을 것 같아. 어떤 선택을 하든 중요한 것은 자신의 꿈을 추구하는 거야. 마지막으로 자신에게 맞는 진로를 찾는 과정에서 많은 것을 배우게 될 거야.
2028,일반,비 오는 날에는 따뜻한 음식을 먹는 게 좋겠어. 그래서 저녁에는 따뜻한 국이나 찌개 먹을 거야. 오늘은 집에서 직접 찌게 만들자. 필요한 재료가 다 있으니 빨리 준비해. 집에서 요리하다니 정말 편안할 것 같아. 이렇게 하면 비 오더라도 안타깝겠어.
2029,일반,체력 떨어진 느낌 어제 운동하다가 힘들었어. 오늘도 그렇게 느껴져서 그냥 누워있겠어. 그래서 근육을 풀기 위해 이번 주말에 여행 가고 싶었는데 지금은 그렇지 않겠어. 바다에 갔다가 피곤해졌어. 운동 없이 하루 종일 휴식을 취하는 게 참 좋더라. 이젠 더 이상 운동을 꾸준히 해야겠다는 생각이 든데 근육 회복이 필요하더라. 운동 후에 항상 피곤해지는 게 뭔지
2030,일반,안녕하세요 무슨 일 있어요? 저는 약속 시간에 오지 못했어요. 미안하지만 일이 생기어서요. 다음 번에는 꼭 지켜보겠어요. 이해하셨으면 좋겠어요. 죄송해요. 다시 뵙겠습니다.
2031,일반,네 어떻게 해요? 제가 어디 있나요? 전화 중이에요. 무슨 일이세요? 저는 집에 있어요. 여기 뭐 있나요? 집은 어디에 있나요? 방금 여기 있었어요. 그럼요 그냥 여기 앉아서 있으면 돼요. 알겠어요. 다시 뵙어요. 좋은 주말 되세요!
2032,일반,오늘 베이킹을 해볼까? 어떤 종류의 케이크 만들고 싶은데... 난 바닐라 케이크가 좋아해. 그럼 그저 레시피 찾아서 따라해보자. 첫 번째 시도에서 멋진 결과를 내길 바래. 이렇게 하면 집도 더 좋겠어!
2033,일반,아 실패해서 우울함에 빠진 것 같아. 난 그냥 살아남으려고 노력할까. 언제나 포기하지 않고 다시 도전해보자. 그럼 너도 함께 힘내면 어떨까? 우리의 이야기는 끝나지 않았잖아. 그래서 더 강하게 나아져봐.
2034,일반,통화 소리가 너무 작아서 듣기 힘들어. 그래서 무선 이어전기를 사용해보는 건 어떨까? 그럼 이번 주말에 가져보자. 그렇다면 방금 사인해서 받을래. 이렇게 하면 어디서든 좋겠어. 무선 이어전기를 사고 싶으신가요?
2035,일반,집 열쇠가 어디에 있었는지 모르겠어. 저도 그 올바른 곳을 찾지 못했어. 나머지 사람들은 이미 잠들었단다. 그럼 다시 열쇠로 들어가자고. 그때마다 이런 일이 발생하네. 다음에는 항상 하나 두는 거야.
2036,일반,책 읽는 취미에 대해 얘기하자. 나도 책 읽는 것을 좋아하지만 시간이 많지 않아서 종종 빠져버려. 그래도 항상 한 권씩 읽으려고 해. 이런 식으로 책이 쌓이고 있어. 마침 가끔이라면 모두 읽을 수 있을 것 같아.
2037,일반,점심 메뉴 정하지 않아서 고민 중이야. 그래서 내가 요리할 걸까 아니면 외식할 걸까. 결국은 오늘 기분에 따라 결정해볼까. 아마도 저녁에 좀 더 생각해보면 될 것 같아. 그리고 친구들과 같이 가면 또 다른 고민이 생길까. 만약 외식한다면 어디가 좋을까?
2038,일반,카드가 분실되었어. 어디서 보낸 건 모르겠어. 나도 그날 기억 안 나더라. 카드 내에 전화번호 있었는데. 그렇다면 연락할 수 있는 방법은 없겠지. 다시 구입해야겠군. 카드 사에 신고할까? 도움이 될까. 사당에 가서 바로 신고할까.
2039,일반,아침 일찍 잠이 잘 났던데 그래도 졸린 것 같아. 쉽게 잠깐 자고 싶었는데 몸이 너무 무겁어서. 그래도 밥 먹고 운동 해도 돼. 언제든지 수면 시간을 충분히 잡아야겠어.
2040,일반,안녕하세요 오늘 시험/면접 너무 불안하네요. Deep breathing exercises might help calm your nerves. Plus preparation is key so make sure you're well-rehearsed. Just remember that it's okay to be a bit nervous; it shows passion. Take things one step at a time and trust in your abilities. You've got this!
2041,일반,"네 이해했습니다. 다음은 ""자신감 부족""이라는 주제를 가진 6줄의 한국어 대화문입니다: 아 이번 시험에서 어떻게 해줄까? 저도 걱정돼요. 공부도 잘하고 있지만... 시험 전에 충분히 복습해보면 돼요. 그래서 오늘 밤까지 더 공부할게요. 언제든지 자신감을 잃지 말아요. 당신만의 힘으로 잘하길 바래요."
2042,일반,차가 고장났다니? 어디서 고장났는지 알려봐. 가로차면 바퀴가 풀렸던 거야. 나도 같이 데려와서 수리해볼게. 그럼 오늘은 차 없이 놀자고. 바람 쐬자고!
2043,일반,안녕하세요 저와 대화 중이에요. 여기서 저는 부재 중이에요. 전화 해명을 부탁드셨습니다. 어떤 부분이 이해되지 않았나요? 저는 지금 집에서 있어요. 집 안에 제가 있으면서도 통화가 원활하겠어요.
2044,일반,야근 후 너무 피곤함이 들었다. 집으로 돌아가고 싶지만 아직 수면 시간이 남아있다. 그래서 잠깐 산책 가보고 싶다. 아침에 좀 더 충분히 휴식을 취해야겠다고 생각해. 좋은 하루 되길 바랄까? 그럼 지금 잠자고 자자.
